blockgroup_id,total_pop,white_pop,black_pop,hispanic_pop,median_household_income,poverty_rate,total_arrests,unique_individuals,discretionary_arrests,discretionary_per_1000,total_per_1000,unique_per_1000,cumulative_pop,cumulative_pop_pct,policing_category
450150207221,2270,1990,110,17,84327.0,,204,33,132,58.14977973568282,89.86784140969164,14.537444933920705,180390,43.59963455486753,Normally Policed
450190026142,1193,838,332,36,53688.0,,209,60,69,57.837384744341996,175.18860016764458,50.29337803855825,181583,43.887978498677924,Normally Policed
450150207151,3516,2346,900,101,56466.0,,453,143,203,57.73606370875996,128.839590443686,40.6712172923777,185099,44.73778344958936,Normally Policed
450150207071,3374,2221,856,36,105568.0,,494,124,193,57.20213396561944,146.41375222288087,36.75163011262597,188473,45.55326749520233,Normally Policed
450150202021,728,11,621,71,60353.0,,169,57,41,56.31868131868132,232.14285714285714,78.2967032967033,189201,45.72922255898603,Normally Policed
450150205033,1903,1726,159,60,81360.0,,242,77,106,55.70152390961639,127.16763005780346,40.46242774566474,191104,46.18917102928879,Normally Policed
450190019011,1889,1553,126,19,139531.0,,220,62,105,55.584965590259394,116.46373742721016,32.821598729486496,192993,46.64573574836493,Normally Policed
450190007001,1787,1506,215,64,33147.0,,165,54,99,55.400111919418016,92.3335198656967,30.2182428651371,194780,47.07764742279005,Normally Policed
450190031103,3159,995,1677,350,50373.0,,610,203,175,55.39727761949984,193.0990819879709,64.26084203861981,197939,47.84116671742294,Normally Policed
450150205031,1374,914,349,0,39671.0,,220,80,76,55.31295487627366,160.11644832605532,58.22416302765647,199313,48.173257730663074,Normally Policed
450190031113,1974,285,1011,422,58568.0,,413,127,108,54.7112462006079,209.21985815602835,64.33637284701115,201287,48.65036665361506,Normally Policed
450190039002,2139,715,1230,134,,,316,109,117,54.6984572230014,147.73258532024312,50.95839177185601,203426,49.167355501737795,Normally Policed
450190031152,2243,507,1152,365,46016.0,,366,108,121,53.94560855996433,163.17432010699957,48.14979937583593,205669,49.70948078754393,Normally Policed
450150202022,819,107,712,0,24449.0,,124,46,44,53.724053724053725,151.4041514041514,56.166056166056165,206488,49.907430234300605,Normally Policed
450190039003,1117,654,357,7,46250.0,,210,84,60,53.71530886302596,188.00358102059087,75.20143240823634,207605,50.17740524288082,Normally Policed
450190031091,690,377,227,107,66054.0,,103,25,37,53.6231884057971,149.2753623188406,36.231884057971016,208295,50.344175839049456,Normally Policed
450190046092,2899,2523,198,83,115341.0,,430,137,155,53.46671265953777,148.32700931355637,47.25767506036564,211194,51.044854039473876,Normally Policed
450150201011,887,526,347,4,49441.0,,140,60,47,52.98759864712514,157.83540022547916,67.64374295377677,212081,51.259238849331226,Normally Policed
450150205061,1868,1479,376,0,63291.0,,291,90,96,51.39186295503212,155.78158458244113,48.179871520342616,213949,51.71072794156745,Normally Policed
450150207232,1292,1197,25,91,86202.0,,148,59,65,50.309597523219814,114.55108359133128,45.6656346749226,215241,52.0229998404803,Normally Policed
450150209011,1196,849,167,143,65694.0,,189,55,59,49.331103678929765,158.02675585284283,45.986622073578594,216437,52.31206887383926,Normally Policed
450190027012,2400,503,1608,24,88714.0,,440,119,117,48.75,183.33333333333331,49.583333333333336,218837,52.892140512686645,Normally Policed
450190051001,1420,1064,266,96,69250.0,,208,72,68,47.88732394366197,146.4788732394366,50.70422535211268,220257,53.23534956567136,Normally Policed
450190026134,1758,1174,501,30,108143.0,,191,78,84,47.78156996587031,108.64618885096701,44.36860068259386,222015,53.66025204112708,Normally Policed
450150207201,1700,1453,59,106,117279.0,,199,71,81,47.64705882352941,117.05882352941177,41.76470588235294,223715,54.07113611864398,Normally Policed
450190021032,1933,1582,341,26,112730.0,,294,72,91,47.0770822555613,152.0951888256596,37.24780134505949,225648,54.53833548443233,Normally Policed
450190046091,1785,1357,387,0,81154.0,,155,45,84,47.05882352941176,86.83473389355741,25.210084033613445,227433,54.96976376582508,Normally Policed
450150202023,1673,430,1243,0,36250.0,,260,83,77,46.02510460251046,155.40944411237297,49.611476389719066,229106,55.37412203740495,Normally Policed
450150208041,2573,943,1130,200,61533.0,,412,151,117,45.47221142635056,160.12436844150795,58.6863583365721,231679,55.9960071735526,Normally Policed
450190046123,999,989,0,18,125921.0,,57,18,45,45.04504504504504,57.05705705705706,18.01801801801802,232678,56.23746199322282,Normally Policed
450190031114,1163,635,447,235,108843.0,,237,67,52,44.71195184866724,203.78331900257953,57.60963026655202,233841,56.518555041547636,Normally Policed
450150201022,2447,1606,630,186,78750.0,,371,78,109,44.54434000817328,151.61422149570902,31.875766244380877,236288,57.10998641665579,Normally Policed
450190022002,1206,854,282,27,96250.0,,135,53,53,43.9469320066335,111.94029850746269,43.9469320066335,237494,57.40147241517661,Normally Policed
450150207181,3428,1489,1397,590,61020.0,,407,147,150,43.75729288214703,118.72812135355892,42.88214702450408,240922,58.230008072663644,Normally Policed
450190046071,1200,1139,31,0,91910.0,,118,41,51,42.5,98.33333333333333,34.166666666666664,242122,58.52004389208734,Normally Policed
450190026052,1486,756,678,9,45469.0,,233,61,62,41.722745625841185,156.79676985195155,41.049798115746974,243608,58.87920491514035,Normally Policed
450190028021,1277,1141,35,32,111500.0,,89,31,52,40.72043852779953,69.6945967110415,24.275646045418952,244885,59.187851366310404,Normally Policed
450190029002,1108,580,460,22,66688.0,,94,42,45,40.61371841155235,84.83754512635379,37.90613718411552,245993,59.45565110624496,Normally Policed
450150210001,2655,1433,515,1017,49143.0,,286,120,107,40.301318267419965,107.72128060263654,45.19774011299435,248648,60.09735535671988,Normally Policed
450190004001,1440,1060,58,212,26169.0,,141,57,55,38.19444444444445,97.91666666666667,39.58333333333333,250088,60.44539834002832,Normally Policed
450190010002,1179,1007,27,0,65357.0,,128,50,45,38.16793893129771,108.5665818490246,42.40882103477523,251267,60.730358532612115,Normally Policed
450190026141,2334,1843,170,0,75607.0,,236,81,89,38.13196229648671,101.11396743787489,34.70437017994859,253601,61.2944782013912,Normally Policed
450190026042,1944,859,721,268,72500.0,,238,103,73,37.55144032921811,122.42798353909465,52.983539094650205,255545,61.764336228857594,Normally Policed
450190046141,2029,1680,283,24,125641.0,,228,74,75,36.96402168555939,112.37062592410055,36.471168063085265,257574,62.25473846019983,Normally Policed
450190026125,2031,981,997,33,51892.0,,249,114,74,36.43525356967011,122.59970457902511,56.129985228951256,259605,62.745624084574445,Normally Policed
450190023001,715,369,303,43,37614.0,,121,43,26,36.36363636363636,169.23076923076923,60.13986013986014,260320,62.918437093647725,Normally Policed
450150207142,1926,1198,424,241,84500.0,,162,65,69,35.82554517133956,84.11214953271028,33.74870197300104,262246,63.38394458382277,Normally Policed
450190031061,4500,2619,1494,166,66133.0,,505,166,161,35.77777777777778,112.22222222222223,36.888888888888886,266746,64.47157890666165,Normally Policed
450190046102,2637,2366,228,165,164306.0,,294,72,94,35.64656806977626,111.49032992036405,27.303754266211605,269383,65.10893261984522,Normally Policed
450150207111,5411,4202,619,275,100479.0,,464,152,192,35.483274810571054,85.75124745888006,28.09092589170209,274794,66.41675246892991,Normally Policed
450190035001,1073,1023,31,17,79517.0,,134,49,38,35.414725069897486,124.88350419384902,45.666356011183595,275867,66.67609283079794,Normally Policed
450190019013,1867,1584,231,347,80161.0,,195,65,66,35.350830208891274,104.44563470808785,34.81521156936261,277734,67.12734022651797,Normally Policed
450190020053,2335,2058,114,57,130616.0,,212,95,82,35.11777301927195,90.79229122055675,40.68522483940043,280069,67.69170159181326,Normally Policed
450150209042,2984,2247,90,347,79100.0,,164,47,101,33.847184986595174,54.9597855227882,15.750670241286864,283053,68.41292399611352,Normally Policed
450150209041,741,705,7,63,105341.0,,72,30,25,33.738191632928476,97.16599190283401,40.48582995951417,283794,68.59202111460765,Normally Policed
