DefendantId,drug_count,drug_type,policing_category
05a43386b3323947cf9928fc,1,Distribution,Normally Policed
05ab80183538a29d114789fd,1,Distribution,Normally Policed
05acec1ff5c0846f6059cac0,6,Distribution,Normally Policed
05ad4bbea37f3064f455befd,3,Possession,Highly Policed
05b1790702bfc2cf095b5543,1,Possession,Normally Policed
05b2b0d4d58bafc973762fc1,1,Possession,Normally Policed
05b7280c81d5be974495d993,1,Distribution,Normally Policed
05bffd913430f6b8b8613a60,2,Distribution,Normally Policed
05c0ca5e136247c090bd3bb1,1,Distribution,Normally Policed
05c371dcd934fa876a772ed5,2,Distribution,Normally Policed
05c658b9b84dd6e25e292ac4,1,Possession,Normally Policed
05d2f49273e268787d464994,4,Distribution,Highly Policed
05d2fdad4fdeea772f989a14,13,Possession,Highly Policed
05d3e90cd759cffbfb5e0004,2,Distribution,Highly Policed
05da22cc77200620f0db48a9,1,Possession,Highly Policed
05dac3a6efd5daf1f97f474d,1,Possession,Highly Policed
05de4d6fa5d2475b9c350e81,2,Distribution,Normally Policed
05df22ab2d564282a17872a4,1,Distribution,Normally Policed
05e344b69a58822b68f22ca9,1,Distribution,Normally Policed
05e4827abc7ba2521b50b8e7,1,Possession,Highly Policed
05e4a83ca3fe5dcd72835cd6,1,Distribution,Normally Policed
05e6ca6cdd24af857016e211,1,Possession,Ultra-Policed
05ed4dbea3acc92d16f230a8,1,Distribution,Normally Policed
05ee3f27700d2c46fb637160,9,Distribution,Highly Policed
05ef5870570195e43bf2d5b1,6,Possession,Ultra-Policed
05f0d89512ecbea4229d818f,3,Possession,Highly Policed
05f2f0ec63c51dda8927b1fc,6,Possession,Highly Policed
05f3a6d9c6603de952d123e4,2,Distribution,Normally Policed
05f4512bb007aadc6c947a41,2,Possession,Normally Policed
05f69e5556fa26a84328fdee,1,Possession,Normally Policed
05fe81303cb250d4448da6ac,1,Possession,Normally Policed
06034a7395f828c9d7f45595,1,Distribution,Normally Policed
0617c3d38acc910eb78230be,1,Distribution,Highly Policed
0618a21c30e7ea2a51292674,1,Possession,Normally Policed
0619797c3c35c885b31dbb1f,1,Possession,Normally Policed
061b3ba8f099fe881bbb380d,1,Possession,Normally Policed
061b489960d3b15752b4170e,2,Distribution,Normally Policed
062312ff575e9d17d5687b36,4,Distribution,Highly Policed
0626212f0a636f0030412648,2,Distribution,Highly Policed
0627637cdfe081df06f34bcd,2,Possession,Normally Policed
062df772fac68629cf72fd61,4,Distribution,Normally Policed
062f2e3b3331f620d088f948,1,Possession,Normally Policed
06339270a352d182d25e31f1,2,Possession,Normally Policed
0636f7bcfa051991d2c21a19,2,Distribution,Ultra-Policed
06395fc1a80e5ffde52b3f81,1,Distribution,Normally Policed
0639ff45222008b73a0c9ad3,3,Possession,Normally Policed
063c06be70707eafdd3dcd37,2,Distribution,Normally Policed
063e812449eb8b4f1311b732,1,Distribution,Ultra-Policed
0640653dbb8f9d69b58187e5,1,Distribution,Normally Policed
0641f71239bb484559d0d7ae,1,Possession,Ultra-Policed
064a0d23ce2fe3b6c4a4b4e5,1,Possession,Normally Policed
065122d42b2569624dc246e8,1,Possession,Highly Policed
0651764346b9ac81eb83252f,1,Other,Normally Policed
0654844c765356c906ab935d,1,Distribution,Normally Policed
06563bf79b9b37006830ab63,3,Possession,Normally Policed
06573cfe0062bcae2ee8fa2b,1,Distribution,Normally Policed
065ba9559f9bfc22861af6b5,7,Distribution,Ultra-Policed
065bdabddc71cf90fff877e8,1,Possession,Normally Policed
06606186f13c785d4fb1085f,2,Distribution,Normally Policed
066642d688e42d3fb88a101d,2,Possession,Ultra-Policed
0666ec59cfad50a5453b70a1,1,Distribution,Normally Policed
0669c7253ead4a532a6567b9,2,Distribution,Normally Policed
066e0c397597b7e93e622744,1,Possession,Normally Policed
066fc284ebbb4553b5b1790e,1,Possession,Normally Policed
067836c80afc7326dc4d7fba,7,Possession,Normally Policed
06861a13b619df647ee8e091,1,Distribution,Ultra-Policed
068b50a110642bd774fac5ec,2,Possession,Normally Policed
068c634387faed0f82856027,1,Distribution,Normally Policed
068fbb9adffc966dc1dcb1e9,4,Distribution,Highly Policed
06918752bb63f34852b2a345,1,Possession,Normally Policed
0695688492df005c9080927d,1,Distribution,Normally Policed
06a620f9f721a0a0c546876d,1,Distribution,Normally Policed
06a74888f2f73b36bb1a7983,1,Distribution,Normally Policed
